KUNTANRO;KUNTANIMIFI;KUNTANIMISV;KUNTAMUOTO;KIELISYYS;VAALIPIIRINRO;VAALIPIIRIFI;VAALIPIIRISV;MAISTRAATTINRO;MAISTRAATTINIMIFI;MAISTRAATTINIMISV;PALVELUYKSIKKÖNRO;PALVELUYKSIKKÖFI;PALVELUYKSIKKÖSV;MAAKUNTANRO;MAAKUNTANIMIFI;MAAKUNTANIMISV
416;Lemi;Lemi;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;790;Kaakkois-Suomen maistraatti;Magistraten i Sydöstra Finland;104; Lappeenrannan yksikkö; Enheten i Villmanstrand;8;Etelä-Karjala;Södra Karelen
417;Lemland;Lemland;Kunta;suomi;5;Ahvenanmaan maakunnan vaalipiiri;Landskapet Ålands valkrets;718;Statens ämbetsverk på Åland Magistratsavdelningen;Statens ämbetsverk på Åland Magistratsavdelningen;;0;0;19;Ahvenanmaa;Åland
418;Lempäälä;Lempäälä;Kunta;suomi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;114; Tampereen yksikkö; Enheten i Tammerfors;5;Pirkanmaa;Birkaland
420;Leppävirta;Leppävirta;Kunta;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;122; Varkauden yksikkö; Enheten i Varkaus;10;Pohjois-Savo;Norra Savolax
421;Lestijärvi;Lestijärvi;Kunta;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;745; Kokkolan yksikkö; Enheten i Karleby;15;Keski-Pohjanmaa;Mellersta Österbotten
422;Lieksa;Lieksa;Kaupunki;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;125; Joensuun yksikkö; Enheten i Joensuu;11;Pohjois-Karjala;Norra Karelen
423;Lieto;Lundo;Kunta;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;107; Turun yksikkö; Enheten i Åbo;2;Varsinais-Suomi;Egentliga Finland
425;Liminka;Limingo;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;127; Oulun yksikkö; Enheten i Uleåborg;16;Pohjois-Pohjanmaa;Norra Österbotten
426;Liperi;Liperi;Kunta;suomi - ruotsi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;125; Joensuun yksikkö; Enheten i Joensuu;11;Pohjois-Karjala;Norra Karelen
430;Loimaa;Loimaa;Kaupunki;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;108; Salon yksikkö; Enheten i Salo;2;Varsinais-Suomi;Egentliga Finland
